WOODS
Diamana WB Series 53,MR0114,3B1M,Graphite,R,52,4.7,high,med/firm,low,$360.00,92
Diamana D+ 62,MR0035,3B1M,Graphite,R,64,3.7,mid/high,firm,low/mid,$129.00,94
Fuji Motore X F3 50,FK0106,3B1M,Graphite,R,58,4.9,low/mid,stiff,mid/high,$225.00,98
Fuji Motore X F3 60,FK0106,3B1M,Graphite,R,67,4.5,low/mid,stiff,mid/high,$225.00,98
GD Tour AD DI 50 Blk,GD0023,3B1M,Graphite,R1,55,4.7,mid,firm,high,$379.00,101
GD Tour AD DI 50 Org,GD0023,3B1M,Graphite,R1,55,4.7,mid,firm,high,$379.00,101
GD Tour AD GC 50,GD0066,3B1M,Graphite,R1,52.5,4.5,mid,firm,mid,$379.00,Web
GD Tour AD HD 50,GD0060,3B1M,Graphite,R1,57,4.4,mid,firm,mid,$379.00,Web
GD Tour AD UB 50,GD0061,3B1M,Graphite,R1,56,4.4,mid,firm,mid,$379.00,100
GD Tour AD VF 50,GD0063,3B1M,Graphite,R1,55,4.3,mid/high,stiff,low/mid,$379.00,100
GD Tour AD VR 50,GD0056,3B1M,Graphite,R1,56,4.5,mid,firm,mid/high,$379.00,Web
GD Tour AD XC 50,GD0059,3B1M,Graphite,R1,54,4.2,mid/high,stiff,low/mid,$379.00,100
HZRDUS Black G4 60,TT0190,3B1M,Graphite,R(5.5),60,4.0,high,stiff,low,$225.00,103
HZRDUS Smoke Black 60,TT0138,3B1M,Graphite,R(5.5),59,4.0,high,stiff,low,$80.00,103
HZRDUS Smoke Black 70,TT0138,3B1M,Graphite,R(5.5),65,4.0,high,stiff,low,$80.00,103
HZRDUS Smoke Blk RDX 60,TT0157,3B1M,Graphite,R(5.5),58,4.0,high,stiff,low,$225.00,104
ProLaunch Red,TT0136,3B1M,Graphite,R,62,3.0,high,firm,low,$59.99,79
Rogue Silver 110 MSI 60,AL0095,3B1M,Graphite,R,60,3.5,mid/high,firm,low/mid,$100.00,88
Tensei 1K Pro Orange 50,MR0101,3B1M,Graphite,R,54,3.9,high,firm,low,$350.00,91
Tensei 1K Pro White 50,MR0095,3B1M,Graphite,R,54,4.6,high,medium,low,$350.00,91
UST LIN-Q M40X White 60,US0127,3B1M,Graphite,F3-R,66,4.9,mid/high,firm,low/mid,$325.00,81
Ventus Blue 60,FK0100,3B1M,Graphite,R,65,3.5,mid,stiff,mid,$350.00,97
Ventus TR Blue 50,FK0112,3B1M,Graphite,R,58,3.5,mid,stiff,mid,$350.00,96
Ventus TR Blue 60,FK0112,3B1M,Graphite,R,67.5,3.3,mid,stiff,mid,$350.00,96
Ventus Blue Velocore+ 50,FK0116,3B1M,Graphite,R2,58.5,3.7,mid,stiff,mid,$350.00,96
Ventus Blue Velocore+ 60,FK0116,3B1M,Graphite,R2,65,3.4,mid,stiff,mid,$350.00,96
GD Tour AD VR 40,GD0056,3B1S,Graphite,R1,47,5.6,mid,firm,mid/high,$379.00 ,Web
Accra TZ6 Series 55,AC0002,3B2H,Graphite,M3-R,62,2.7,mid,med/firm,mid,$200.00 ,78
Accra TZ6 Series 65,AC0002,3B2H,Graphite,M3-R,66,2.6,mid,med/firm,mid,$200.00 ,78
ProLaunch Blue 65,TT0133,3B2H,Graphite,R,64,3.2,low/mid,med/soft,high,$59.99,79
Accra iWood 42,AC0003,3B2M,Graphite,M3-R,56.5,4.7,low/mid,med/soft,mid/high,$99.00,78
Accra iWood 52,AC0003,3B2M,Graphite,M3-R,61,3.8,low/mid,med/soft,mid/high,$99.00,78
Accra iWood 62,AC0003,3B2M,Graphite,M3-R,66,3.2,low/mid,med/soft,mid/high,$99.00,78
EvenFlow Blue 65,TT0142,3B2M,Graphite,R(5.5),65,4.6,mid,medium,mid,$59.99,Web
Aldila NV 55,AL0088,3B2M,Graphite,R,58,4.5,mid/high,medium,low/mid,$80.00,87
Aldila NVS 55,AL0091,3B2M,Graphite,R,57,4.6,mid,medium,mid/high,$80.00,87
Aldila NVS 65,AL0091,3B2M,Graphite,R,65,3.6,mid,medium,mid/high,$80.00,87
Denali Blue 50,TT0209,3B2M,Graphite,R(5.5),57,4.2,mid,med/firm,mid,$225.00,102
Denali Blue 60,TT0209,3B2M,Graphite,R (5.5),64,3.9,mid,med/firm,mid,$225.00,102
Diamana BB Series 53,MR0117,3B2M,Graphite,R,50,4.9,mid/high,medium,mid,$360.00,Web
Evenflow Riptide CB 50,TT0201,3B2M,Graphite,R(5.5),54,4.9,mid,med/firm,mid,$80.00,104
Evenflow Riptide CB 60,TT0201,3B2M,Graphite,R(5.5),62,4.0,mid,med/firm,mid,$80.00,104
Fuji Speeder NX Blue 50,FK0109,3B2M,Graphite,R,51.5,4.6,mid,firm,mid/high,$350.00,98
Fuji Speeder NX Green 50,FK0115,3B2M,Graphite,R,54.5,4.9,mid,firm,mid,$350.00,98
GD Tour AD CQ 50,GD0062,3B2M,Graphite,R1,54,4.6,low/mid,medium,mid/high,$379.00,100
GD Tour AD IZ 50,GD0052,3B2M,Graphite,R1,54,4.5,mid,med/firm,high,$379.00,100
Graftech Lite,GW1005,3B2M,Graphite,R,73,4.8,mid,medium,mid,$16.99,73
Graftech GT 55,GW0049,3B2M,Graphite,R,57,4.6,mid,med/soft,high,$29.99,73
Graftech GT 65,GW0048,3B2M,Graphite,R,65,4.5,mid,medium,mid,$27.99,73
G-Tech,GD0011,3B2M,Graphite,R,74,4.9,mid,medium,mid,$27.99,101
HZRDUS Smoke Blue RDX 60,TT0159,3B2M,Graphite,R(5.5),64,4.2,mid,firm,mid,$225.00,104
HZRDUS Smoke Red RDX 60,TT0180,3B2M,Graphite,R(5.5),60,3.7,mid,med/firm,mid,$225.00,104
KBS TD 50,FS0066,3B2M,Graphite,cat2-R,50,4.0,low/mid,med/soft,mid/high,$200.00,110
KBS TD 60,FS0066,3B2M,Graphite,cat2-R,60,3.1,low/mid,med/soft,mid/high,$200.00,110
Kuro Kage Blk HBP 60 2nd Gen,MR0044,3B2M,Graphite,R,65,4.6,mid,medium,mid,$49.99,95
Kuro Kage Sil 60 1st Gen,MR0036,3B2M,Graphite,R,64,4.6,mid,med/firm,mid,$69.00,94
MPF Pro Series FW,MA0290,3B2M,Graphite,R,77,3.5,mid,medium,mid,$29.99,72
Mitsubishi C6 Blue 60,MR0097,3B2M,Graphite,R,62,4.6,mid,soft,mid,$150.00,93
Mitsubishi C6 Onyx 50,MR0091,3B2M,Graphite,R,57,4.8,mid,medium,mid,$250.00,93
Mitsubishi C6 Onyx 60,MR0091,3B2M,Graphite,R,63,4.5,mid,medium,mid,$250.00,93
ProForce V2 55,US0139,3B2M,Graphite,F3-R,57,3.7,mid,medium,mid,$75.00,82
ProForce V2 65,US0139,3B2M,Graphite,F3-R,65,3.0,mid,medium,mid,$75.00,82
ProLaunch GWX 50,TT0155,3B2M,Graphite,R,54,54,mid,medium,mid/high,$59.99,79
ProLaunch GWX60,TT0155,3B2M,Graphite,R,62,62,mid,medium,mid/high,$59.99,79
ProLaunch Platinum,TT0132,3B2M,Graphite,R,58,3.5,mid,medium,mid,$59.99,79
Rapport Core Blue 50,VA0001,3B2M,Graphite,R,55,4.2,low/mid,soft/med,mid/high,$99.99,75
Rapport Core Blue 60,VA0001,3B2M,Graphite,R,62,3.8,low/mid,soft/med,mid/high,$99.99,75
Rapport Core Blue CB 60,VA0004,3B2M,Graphite,R,65,4.2,low/mid,soft/med,mid/high,$99.99,75
Rapport Core Blue FW 60,VA0005,3B2M,Graphite,R,69,3.7,low/mid,soft/med,mid/high,$69.99,75
Rapport Core White 50,VA0008,3B2M,Graphite,R,54,3.9,mid/high,firm,mid,$129.99,74
Rapport Core White 60,VA0008,3B2M,Graphite,R,62,3.5,mid/high,firm,mid,$129.99,74
Tensei AV Raw Orange 65,MR0092,3B2M,Graphite,R,60,4.4,mid,medium,mid,$150.00,Web
Tensei CK Blue 60,MR0068,3B2M,Graphite,R,64,4.6,mid,med/soft,mid,$129.00,94
Tensei 1K Pro Blue 50,MR0104,3B2M,Graphite,R,52,4.9,mid,medium,mid,$350.00,91
Tensei 1K Pro Blue 60,MR0104,3B2M,Graphite,R,58,4.0,mid,medium,mid,$350.00,91
UST Gold 55,US0081,3B2M,Graphite,R,50,4.5,low/mid,medium,mid/high,$55.00,85
UST Gold 65,US0054,3B2M,Graphite,R,62,3.9,low/mid,medium,mid/high,$55.00,85
UST LIN-Q M40X Blue 60,US0131,3B2M,Graphite,F3-R,64,4.9,mid,medium,mid,$325.00,81
Vanquish 50,MR0103,3B2M,Graphite,R,55,4.2,mid,medium,mid/high,$360.00,92
Ventus Red 50,FK0099,3B2M,Graphite,R,58.5,3.7,low,firm,mid/high,$350.00,97
Ventus Red 60,FK0099,3B2M,Graphite,R,64.5,3.4,low,firm,mid/high,$350.00,97
Ventus Red Velocore+ 50,FK0117,3B2M,Graphite,R,59.5,3.6,low,firm,mid/high,$350.00,Web
Ventus Red Velocore+ 60,FK0117,3B2M,Graphite,R,65,3.4,low,firm,mid/high,$350.00,Web
Ventus TR Red 50,FK0114,3B2M,Graphite,R,59.5,3.5,mid,firm,mid/high,$350.00,96
Ventus TR Red 60,FK0114,3B2M,Graphite,R,67.5,3.4,mid,firm,mid/high,$350.00,96
Aldila NVS 45,AL0091,3B2S,Graphite,R,49,6.2,mid,med/soft,mid/high,$80.00,87
Aldila Synergy Blue 50,AL0087,3B2S,Graphite,R,53,6.2,mid,medium,mid,$175.00,89
Aldila Synergy Blue 60,AL0087,3B2S,Graphite,R,62,6.2,mid,medium,mid,$175.00,89
Ascent Red 40,AL0086,3B2S,Graphite,R,48,7.1,mid,medium,mid,$250.00 ,88
Ascent Red 50,AL0086,3B2S,Graphite,R,54,5.7,mid,medium,mid,$250.00 ,88
Competition Series,US0044,3B2S,Graphite,R,67,5.8,mid,medium,mid/high,$30.00,85
Diamana BB Series 43,MR0117,3B2S,Graphite,R,45,5.1,mid/high,medium,mid,$360.00,Web
Diamana S+ 62 1st Gen,MR0034,3B2S,Graphite,R,64,5.4,mid,med/firm,mid,$99.00,94
Diamana TB Series 50,MR0093,3B2S,Graphite,R,56,5.3,mid/high,medium,mid,$360.00,Web
EvenFlow Blue 55,TT0142,3B2S,Graphite,R(5.5),58,5.4,mid,medium,mid,$49.99,Web
GD Tour AD CQ 40,GD0062,3B2S,Graphite,R1,48,6.0,low/mid,medium,mid/high,$379.00,Web
GD Tour AD GC 40,GD0066,3B2S,Graphite,R1,46.5,5.5,mid,firm,mid,$379.00,Web
HZDUS Smoke Red RDX 50,TT0180,3B2S,Graphite,R(5.5),50,5.5,mid,med/firm,mid,$225.00,104
KBS TD 40,FS0065,3B2S,Graphite,cat2-R,47,5.1,low/mid,med/soft,mid/high,$200.00,110
Kuro Kage Blk HBP 50 2nd Gen ,MR0044,3B2S,Graphite,R,57,5.0,mid,medium,mid,$49.99,95
MPF Pro Series UL,MA0288,3B2S,Graphite,R,47,5.5,low/mid,med/soft,high,$39.99,72
ProLaunch Blue 45,TT0133,3B2S,Graphite,R,44,5.0,low/mid,med/soft,high,$59.99,79
Tensei AV Raw Orange 55,MR0092,3B2S,Graphite,R,57,5.8,mid,medium,mid,$150.00,Web
Tensei CK Blue 50,MR0068,3B2S,Graphite,R,54,5.6,mid,med/soft,mid/high,$129.00,94
UST dhi Series,US0082,3B2S,Graphite,R,67,6.2,low/mid,med/soft,mid/high,$30.00,85
UST LIN-Q M40X Red 50,US0132,3B2S,Graphite,F3-R,57,5.7,low/mid,med/soft,mid/high,$325.00,81
UST LIN-Q M40X Red 60,US0132,3B2S,Graphite,F3-R,66,5.0,low/mid,medium,mid/high,$325.00,81
Vanquish 40,MR0103,3B2S,Graphite,R,48,5.4,mid,medium,mid/high,$360.00,92
Vista Pro 55,FK0102,3B2S,Graphite,R,56,4.8,low/mid,med/soft,mid/high,$95.00,99
Vista Pro 65,FK0102,3B2S,Graphite,R,65,4.4,mid,medium,mid,$95.00,99
Cypher 2.0 50,TT0211,3B3M,Graphite,R(5.5),55,4.3,low,med/soft,high,$225.00,102
MPF Pro Series DR,MA0289,3B3M,Graphite,R,72,47,low,medium,high,$34.99,72
Pro Custom,TT202214,3B3M,Graphite,R,70,5.0,low,soft, high,$31.99,79
ProForce V2 HL 55,US0141,3B3M,Graphite,F3-R,52,4.2,low,med/soft,high,$75.00,82
ProForce V2 HL 65,US0141,3B3M,Graphite,F3-R,63,4.3,low,med/soft,high,$75.00,82
GD Tour AD IZ 40,GD0052,3D2S,Graphite,R1,47,5.6,mid,soft,high,$379.00,Web
Mitsubishi C6 Blue 50,MR0097,3D2S,Graphite,R,54,5.7,mid,soft,mid,$150.00,93
UST Helium Nanocore 40,US0126,3D2S,Graphite,F3-R,47,6.3,mid,soft,high,$280.00,Web
UST Helium Nanocore 50,US0126,3D2S,Graphite,F3-R,57,5.7,mid,soft,high,$280.00,Web
