IRONS
Dynamic Gold,UDGI / DGI,3C1M,Steel,R300,127,1.9,high,firm,low,$29.99,106
Command,TT201103,3C2M,Steel,R,127,2.5,mid,medium,mid,$9.99,109
Recoil Dart 65 .370,US0124,3D2S,Graphite,F3-R,64,5.2,low,medium,mid,$50.00,83
FST 90,FS0011,3D3H,Steel,R,100,3.0,low,soft,high,$12.95,120
FST 115,FS0012,3D3H,Steel,R,115,3.0,low,soft,high,$11.95,120
FST Pro 115 Stepless,FS0087,3D3H,Steel,R,115,3.0,low,soft,high,$13.95,120
KBS Max Graphite .355,FS0074,3D3M,Graphite,R,65,4.0,low,soft,high,$59.95,111
KBS Max Graphite .370,FS0060,3D3M,Graphite,R,65,4.0,low,soft,high,$49.95,111
KBS TGI Graphite 60 .355,FS0058,3D3M,Graphite,R,60,3.5,low,soft,high,$64.95,112
KBS TGI Graphite 60 .370,FS0054,3D3M,Graphite,R,60,3.5,low,soft,high,$54.95,112
M890,MA0312,3D3M,Graphite,R,65,4.0,low,soft,high,$17.99,72
Recoil 460 ESX .370,US0114,3D3M,Graphite,F3-R,64,4.7,low,soft,high,$45.00,84
Pro Custom,TT201201,3D3M,Graphite,R,77,3.9,low,soft,high,$26.99,79
SteelFiber i55 .355,AT0039IE,3D3M,Graphite,R,58,4.1,low,soft,high,$60.00,76
ProLaunch Blue 60,TT0135,3D3S,Graphite,R,63,5.0,low,soft,high,$34.99,79
SteelFiber i55 .370,AT0038,3D3S,Graphite,R,58,5.1,low,soft,high,$55.00,76
KBS C-Taper .355,FS0026,3.5B1H,Steel,R+,115,2.5,high,stiff,low,$49.95,113
Project X LZ .355,TT0117,3.5B1H,Steel,5.5 R+,110,1.9,mid,stiff,mid,$51.99,105
Project X LZ Blackout,TT0147,3.5B1H,Steel,5.5 R+,115,1.9,mid,stiff,mid,$64.99,105
KBS $-Taper .355 Black PVD,FS0049,3.5B2H,Steel,R+,115,2.5,mid,medium,mid,$64.95,Web
KBS $-Taper .355 Chrome,FS0050,3.5B2H,Steel,R+,115,2.5,mid,medium,mid,$64.95,113
KBS Tour .355,FS0018,3.5B2H,Steel,R+,115,2.5,mid,medium,mid,$34.95,114
N.S. Pro 950GH neo .355,NP0027,3.5B2H,Steel,SR,97,1.8,high,medium,high,$32.50,118
Project X IO .355,TT0168,3.5B2H,Steel,5.5 R+,105,1.9,mid,medium,mid/high,$54.99,105
KBS Max Graphite .370,FS0060,3.5B2M,Graphite,R+,75,3.5,mid,med/soft,mid/high,$49.95,111
KBS PGI Graphite 70 .370,FS0078,3.5B2M,Graphite,R+,70,4.0,mid,medium,mid/high,$69.95,112
KBS PGI Graphite 70 .355,FS0083,3.5B2M,Graphite,R+,70,4.0,mid,medium,mid/high,$89.95,112
KBS TGI Graphite 70 .355,FS0058,3.5B2M,Graphite,R+,70,3.0,low/mid,medium,high,$64.95,112
KBS TGI Graphite 70 .370,FS0054,3.5B2M,Graphite,R+,70,3.0,low/mid,medium,mid/high,$54.95,112
HZRDUS Orange Gen 4 JR .370,TT0206,3.5B2S,Graphite,JR - Firm,44,5.5,mid,med,mid,$30.00,103
Project X .355,RP0009i,3.5C1H,Steel,5.5 R+,115,1.9,high,stiff,low,$46.99,105
Project X .370,TT0118,3.5C1H,Steel,5.5 R+,115,1.9,high,stiff,low,$46.99,105
Dynamic Gold 105 .355,TT0122 ,4B1H,Steel,S300,103,1.9,high,medium,low/mid,$36.99,106
Dynamic Gold 105 .370,TT0121 ,4B1H,Steel,S300,107,1.9,high,medium,low/mid,$36.99,106
KBS C-Taper Lite .355,FS0035,4B1H,Steel,S,110,2.5,mid,firm,mid/high,$54.95,113
KBS C-Taper Lite .370,FS0038,4B1H,Steel,S,118.5,2.5,mid,firm,mid/high,$54.95,113
